Date,Without_Storage_Optimization,With_Storage_Optimization,,,,,
28-10-2021,175.9308412,172.3823299,,,,,
29-10-2021,92.75139905,89.44499851,,,,,
30-10-2021,90.02483535,86.67992533,,,,,
31-10-2021,146.6070226,142.0593964,,,,,
1/11/2021,173.0666666,170.2910474,,,,,
2/11/2021,85.12582959,81.24268522,,,,,
3/11/2021,81.43014416,77.49023423,,,,,
4/11/2021,143.165789,139.4959015,,,,,
5/11/2021,61.61094819,58.23610251,,,,,
6/11/2021,169.0356345,164.104722,,,,,
7/11/2021,73.09266697,69.44263701,,,,,
8/11/2021,339.6655884,319.2606225,,,,,
9/11/2021,180.4611756,175.3921461,,,,,
10/11/2021,274.7621685,271.2349199,,,,,
11/11/2021,84.38928628,81.49983104,,,,,
12/11/2021,253.694153,248.9761943,,,,,
13-11-2021,174.2858786,169.4108474,,,,,
14-11-2021,243.9701275,240.6784582,,,,,
15-11-2021,104.6714983,98.27878954,,,,,
16-11-2021,84.94828681,80.43577347,,,,,
17-11-2021,346.3458545,332.7124501,,,,,
18-11-2021,90.05379343,86.50367555,,,,,
19-11-2021,177.9347262,173.7131825,,,,,
20-11-2021,272.287552,270.463938,,,,,
21-11-2021,204.610625,197.2676412,,,,,
22-11-2021,95.69999736,90.56569027,,,Initial_Lambda,Reduction_in_Price,
23-11-2021,169.4107246,160.7463415,,,0.800744569,-207.0525382,
24-11-2021,188.1264468,184.6566278,,,0.968261576,-206.9433846,
25-11-2021,315.6511552,302.8097935,,,0.313424178,-207.3700748,
26-11-2021,107.7427428,97.88390978,,,0.692322616,-207.1231856,
27-11-2021,258.5963696,252.6695638,,,0.876389152,-207.0032484,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,Incremental_Gradient_Algorithm,Online_Storage_Optimization,Offline_Prediction
,,,,Cost_Reduction,207.098,203.051,9.32
